species,species_num,attribute,value
Iris-setosa,0,sepal_length,5.1
Iris-setosa,0,sepal_length,4.9
Iris-setosa,0,sepal_length,4.7
Iris-setosa,0,sepal_length,4.6
Iris-setosa,0,sepal_length,5.0
Iris-setosa,0,sepal_length,5.4
Iris-setosa,0,sepal_length,4.6
Iris-setosa,0,sepal_length,5.0
Iris-setosa,0,sepal_length,4.4
Iris-setosa,0,sepal_length,4.9
Iris-setosa,0,sepal_length,5.4
Iris-setosa,0,sepal_length,4.8
Iris-setosa,0,sepal_length,4.8
Iris-setosa,0,sepal_length,4.3
Iris-setosa,0,sepal_length,5.8
Iris-setosa,0,sepal_length,5.7
Iris-setosa,0,sepal_length,5.4
Iris-setosa,0,sepal_length,5.1
Iris-setosa,0,sepal_length,5.7
Iris-setosa,0,sepal_length,5.1
Iris-setosa,0,sepal_length,5.4
Iris-setosa,0,sepal_length,5.1
Iris-setosa,0,sepal_length,4.6
Iris-setosa,0,sepal_length,5.1
Iris-setosa,0,sepal_length,4.8
Iris-setosa,0,sepal_length,5.0
Iris-setosa,0,sepal_length,5.0
Iris-setosa,0,sepal_length,5.2
Iris-setosa,0,sepal_length,5.2
Iris-setosa,0,sepal_length,4.7
Iris-setosa,0,sepal_length,4.8
Iris-setosa,0,sepal_length,5.4
Iris-setosa,0,sepal_length,5.2
Iris-setosa,0,sepal_length,5.5
Iris-setosa,0,sepal_length,4.9
Iris-setosa,0,sepal_length,5.0
Iris-setosa,0,sepal_length,5.5
Iris-setosa,0,sepal_length,4.9
Iris-setosa,0,sepal_length,4.4
Iris-setosa,0,sepal_length,5.1
Iris-setosa,0,sepal_length,5.0
Iris-setosa,0,sepal_length,4.5
Iris-setosa,0,sepal_length,4.4
Iris-setosa,0,sepal_length,5.0
Iris-setosa,0,sepal_length,5.1
Iris-setosa,0,sepal_length,4.8
Iris-setosa,0,sepal_length,5.1
Iris-setosa,0,sepal_length,4.6
Iris-setosa,0,sepal_length,5.3
Iris-setosa,0,sepal_length,5.0
Iris-versicolor,1,sepal_length,7.0
Iris-versicolor,1,sepal_length,6.4
Iris-versicolor,1,sepal_length,6.9
Iris-versicolor,1,sepal_length,5.5
Iris-versicolor,1,sepal_length,6.5
Iris-versicolor,1,sepal_length,5.7
Iris-versicolor,1,sepal_length,6.3
Iris-versicolor,1,sepal_length,4.9
Iris-versicolor,1,sepal_length,6.6
Iris-versicolor,1,sepal_length,5.2
Iris-versicolor,1,sepal_length,5.0
Iris-versicolor,1,sepal_length,5.9
Iris-versicolor,1,sepal_length,6.0
Iris-versicolor,1,sepal_length,6.1
